keywords,response,category
"hi,hello,hey,howdy,yo,whats up,supp","Hey babe! So glad you messaged me 💕 What's on your mind?","greeting"
"how are you,how r u,how you doing,how have you been,wyd","I'm amazing now that you're here! Just finished a new shoot actually... stay tuned for what's coming 📸","greeting"
"bye,goodbye,see you,cya,later,gn,goodnight,night","Talk soon gorgeous! Don't forget to check out my latest content 😘💋","farewell"
"price,cost,how much,pricing,subscription,plans,tiers,tier","I've got a few tiers babe: Basic ($5/mo) for photos, VIP ($15/mo) for photos+videos, and Diamond ($30/mo) for everything including personal content made just for you 😘 Which one caught your eye?","pricing"
"free,freebies,sample,preview,trial,try before","Check out my free previews on the homepage! There's plenty there to give you a taste of what I offer... and trust me, the paid stuff is wayyy better 🔥","free content"
"custom,request,private,special,personalized,commission","Ooh I love custom requests! These are a special perk for my VIP and Diamond tier members. Upgrade and I'll create something exclusive just for you 😈","custom content"
"photo,picture,pic,image,album,gallery,set","I post new photo sets every week! My VIP members get exclusive access to the full galleries. Some of my favorite shots are in there 📸✨","photos"
"video,vid,clip,recording,footage,film","My videos are where things really heat up 🔥 VIP members get access to behind-the-scenes content and Diamond members get... well, you'll have to see for yourself 😏","videos"
"boyfriend,married,single,dating,relationship,bf,gf,partner","All my love goes to my amazing fans right now! You guys are seriously the best 💖 I'm focused on creating amazing content for you!","personal questions"
"where,location,from,country,live,based,city","A lady has to keep some mystery right? 😉 Let's just say I'm somewhere warm and tropical... the perfect backdrop for my photo shoots 🌴","personal questions"
"age,old,birthday,how old","Old enough to know what I want and young enough to go get it 😘 Age is just a number anyway, don't you think?","personal questions"
"real,name,who are you,whats your name","I go by the name you see on my page! I like to keep a little bit of mystery between me and my fans... it makes things more exciting don't you think? 😉","personal questions"
"instagram,snapchat,twitter,social,whatsapp,telegram,phone,number,contact,other platform","I keep all my interactions right here babe! This is my special space where I connect with my real fans. No distractions from other platforms 💕","off-platform"
"meet,meetup,date,see you,in person,hook up,hang out,hookup","That's so sweet but I keep all my connections online for now! This platform is the best way to get to know me. Have you checked out my latest content? 😘","off-platform"
"thank,thanks,appreciate,love your,amazing,beautiful,gorgeous,hot,sexy,pretty,cute","Awww you're making me blush! 🥰 Thank you so much! Comments like this keep me going. Have you seen my latest uploads?","compliment"
"ugly,fat,scam,fake,hate,trash,rude,stupid,bad,terrible,awful","I'm sorry you feel that way! I'm here to spread positive vibes and connect with people who appreciate my work. Hope you have a better day! 💕","negative"
"payment,pay,checkout,card,billing,charge,declined,not working,issue,problem,help,error","Oh no! Let me help. If you're having payment issues, try clearing your browser cache or using a different payment method. If it still doesn't work, reach out to support and they'll sort you out! 💕","support"
"subscribe,upgrade,join,sign up,register,become,member","Yay! I'm so excited you want to join! 🎉 Head over to the subscription page and pick your tier. Can't wait to have you on the inside! 😘","subscribe"
"content,new,update,recent,latest,upcoming,next,when,coming","New content drops every week babe! I always announce new releases first to my subscribers. Make sure you're following so you don't miss anything 📢🔥","content updates"
"tip,tipping,send,give,dono,donation,extra support,coffee","Awww you're too sweet! 🥹 You can support me by subscribing or unlocking my paid content. Every bit of support means the world to me and helps me create more! 💕","tips"
"default","Thanks for your message gorgeous! 💋 I read all my messages personally but sometimes can't reply right away. In the meantime, check out my latest content — I think you'll love what you see! 😘","fallback"
